"name","category","source","license","path"
"arrow.svg","divider","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/arrow.svg"
"book.svg","divider","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/book.svg"
"clouds-opacity.svg","cloud","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/clouds-opacity.svg"
"clouds.svg","cloud","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/clouds.svg"
"curve-asymmetrical-extreme-opacity.svg","curve","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/curve-asymmetrical-extreme-opacity.svg"
"curve-asymmetrical-extreme.svg","curve","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/curve-asymmetrical-extreme.svg"
"curve-asymmetrical-opacity.svg","curve","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/curve-asymmetrical-opacity.svg"
"curve-asymmetrical.svg","curve","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/curve-asymmetrical.svg"
"curve-opacity.svg","curve","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/curve-opacity.svg"
"curve.svg","curve","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/curve.svg"
"drops.svg","drops","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/drops.svg"
"fan-opacity.svg","divider","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/fan-opacity.svg"
"pyramids-opacity.svg","geometric","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/pyramids-opacity.svg"
"pyramids.svg","geometric","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/pyramids.svg"
"sea-waves-pattern-opacity.svg","pattern","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/sea-waves-pattern-opacity.svg"
"sea-waves-pattern.svg","pattern","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/sea-waves-pattern.svg"
"split.svg","divider","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/split.svg"
"tilt-curved-opacity.svg","curve","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/tilt-curved-opacity.svg"
"tilt-curved.svg","curve","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/tilt-curved.svg"
"tilt-opacity.svg","divider","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/tilt-opacity.svg"
"tilt.svg","divider","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/tilt.svg"
"triangle-asymmetrical-opacity.svg","geometric","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/triangle-asymmetrical-opacity.svg"
"triangle-asymmetrical.svg","geometric","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/triangle-asymmetrical.svg"
"triangle-opacity.svg","geometric","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/triangle-opacity.svg"
"triangle-pattern.svg","geometric","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/triangle-pattern.svg"
"triangle.svg","geometric","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/triangle.svg"
"wave-opacity.svg","wave","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/wave-opacity.svg"
"wave.svg","wave","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/wave.svg"
"waves-opacity.svg","wave","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/waves-opacity.svg"
"waves-pattern-asymmetrical-opacity.svg","pattern","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/waves-pattern-asymmetrical-opacity.svg"
"waves-pattern-asymmetrical.svg","pattern","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/waves-pattern-asymmetrical.svg"
"waves-pattern-opacity.svg","pattern","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/waves-pattern-opacity.svg"
"waves-pattern.svg","pattern","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/waves-pattern.svg"
"waves.svg","wave","https://github.com/andraswebcode/shape-dividers","CC0-1.0","cc0-shape-dividers/waves.svg"
"blob-organic.svg","blob","Custom for ALABZ guide","Custom asset","custom/blob-organic.svg"
"blob-peanut.svg","blob","Custom for ALABZ guide","Custom asset","custom/blob-peanut.svg"
"concentric-rings.svg","decorative","Custom for ALABZ guide","Custom asset","custom/concentric-rings.svg"
"corner-swoop.svg","corner","Custom for ALABZ guide","Custom asset","custom/corner-swoop.svg"
"edge-organic-right.svg","page-edge","Custom for ALABZ guide","Custom asset","custom/edge-organic-right.svg"
